RAJ2000,DEJ2000,Bmag,Vmag
57.994674,-1.508793,14.882,13.987
57.92523,-1.511436,15.445,14.51
57.868793,-1.487479,17.53,16.709
57.915652,-1.484454,17.768,16.171
57.915972,-1.48433,18.075,16.223
57.928238,-1.468602,14.548,13.415
57.900686,-1.45069,15.924,15.112
57.900731,-1.450674,16.006,15.129
57.919143,-1.439459,16.933,16.061
57.919296,-1.439398,17.004,16.046
57.931937,-1.443191,17.891,16.555
57.809123,-1.481487,17.866,16.904
57.856775,-1.455972,17.089,16.127
57.863309,-1.465518,17.262,15.946
57.826802,-1.434007,16.755,15.743
57.879842,-1.431087,16.357,15.636
57.879939,-1.430846,16.339,15.658
57.885889,-1.4365,15.269,14.305
57.891245,-1.398217,14.92,14.231
