ID,x_refined,y_refined,best_radius,instr_mag,known_mag,ZP_raw,ZP_corr
42,779.7556369303754,950.5238446739027,8.0,-7.374253034225089,16.85595373,24.230206764225088,24.13149147039302
43,792.6097030307074,809.8135930690883,8.0,-4.882317557407221,19.44863022,24.330947777407218,24.23223248357515
74,1154.8842438471995,564.4739731082033,6.5,-4.425776196197898,18.9722504,23.398026596197898,23.29931130236583
65,1584.2990993337826,460.14643409423854,7.5,-4.718829722882083,18.82689551,23.545725232882084,23.447009939050016
61,1452.7588778397233,1116.9413400720107,7.5,-5.91016250830428,18.04630152,23.956464028304282,23.857748734472214
28,1696.6580488961445,1085.4896961614597,6.5,-4.760951445316392,18.94614331,23.70709475531639,23.608379461484322
89,897.8284202824519,1505.3813894839311,7.5,-7.4261970251033835,16.50647947,23.932676495103383,23.833961201271315
4,1551.455613822678,1682.360413814307,7.5,-7.481355239554474,16.75313846,24.234493699554474,24.135778405722405
70,578.6899883433331,1481.8569756838476,7.5,-6.775090440515374,17.43787124,24.212961680515374,24.114246386683305
54,325.65401665028907,1352.1000786678424,9.0,-8.12128172085934,16.28008283,24.40136455085934,24.302649257027273
18,1115.846744561084,1332.4039080694615,11.5,-5.897731200864018,18.89977387,24.79750507086402,24.69878977703195
62,1660.4914685204742,757.3662342744649,11.5,-9.659195338037302,14.63825299,24.2974483280373,24.198733034205233
82,1948.2539322563232,706.1350833893379,9.5,-8.664072722311252,15.24738693,23.91145965231125,23.812744358479183
80,1891.9556437146778,931.4840831432357,7.5,-5.759606288050438,18.28801941,24.04762569805044,23.94891040421837
13,185.41827481987332,1477.2692608335428,9.5,-8.512071427109486,15.96619217,24.478263597109486,24.379548303277417
12,163.03450672783075,1527.8316159252306,7.5,-6.850579810822866,16.9890097,23.83958951082287,23.7408742169908
