ID,x_init,y_init,x_refined,y_refined,best_radius,max_snr,instr_mag,known_mag,ZP
42,778,945,778.0,945.0,9.5,22.718775302198033,20.531266810215627,17.00515201,11.473885199784375
30,794,1165,791.4234449310404,1161.3523002667418,11.5,1.2806943723272999,23.599900361480415,20.56836858,11.968468218519586
43,792,805,792.3632319980404,809.0825950073287,3.5,6.905177353020677,22.96912138567231,19.54936869,11.580247304327692
74,1155,561,1154.657856553835,563.758282301492,3.0,5.7830492622397704,23.30312844850011,19.9384454,11.635316951499888
75,1144,433,1143.0339810984817,434.1488638107509,3.5,4.043076242129172,23.604769667202078,20.46524066,11.86047099279792
76,1144,380,1141.6220953137445,382.0306700988195,3.0,3.080227468544352,24.043787312157278,20.7957534,11.751966087842723
63,1568,656,1567.2685759914846,655.2732068515821,2.5,3.385309442513963,24.100276332263242,20.48636449,11.386088157736756
48,1770,633,1770.3054466421922,631.9969457083922,3.0,4.261539296811251,23.67089471053205,20.37745561,11.706560899467949
79,1394,461,1392.5269104649108,461.45512715679996,2.5,2.2998878512876004,24.545710859465537,20.97856835,11.432857490534463
65,1584,461,1583.6106555498232,459.52722001962144,3.5,6.838660818004127,22.985430870438233,19.62323472,11.637803849561767
61,1451,1115,1452.382712719565,1116.3885919402016,4.0,13.571010463304946,21.995219378224107,18.40189861,11.406679231775893
28,1695,1085,1696.318724148635,1084.9394064652756,3.5,7.774094381761117,22.827719731423237,19.32930191,11.501582178576767
89,893,1500,893.0,1500.0,11.0,22.71732430397302,20.418502161067593,16.89195118,11.473449018932405
2,1156,1756,1156.0,1756.0,10.0,2.040180359327935,23.25163257439128,20.17891703,11.927284455608723
4,1546,1684,1541.7943602203218,1686.3329439273398,13.0,18.122542413774223,20.52736787274933,16.77266218,11.24529430725067
70,574,1475,574.0,1475.0,11.5,13.835674163663354,20.943020605945257,17.64092796,11.697907354054742
54,321,1344,321.0,1344.0,13.0,29.80696245478829,19.914004935151652,16.43335028,11.519345344848347
18,1112,1328,1108.6928278930488,1324.0033377948114,13.0,6.601711065074594,21.67569260932912,19.01720573,12.34151312067088
62,1659,756,1659.9520861241688,756.8549557117459,7.0,90.47500697742454,18.777646346810787,14.85299553,11.07534918318921
82,1948,709,1947.7912313932115,705.6353097268031,6.0,57.67735084007745,19.60472420608201,15.87544641,11.27072220391799
80,1891,932,1891.3993064162923,930.9655767942861,4.0,12.534601658936426,22.10015826621898,18.54209983,11.441941563781022
13,180,1470,180.0,1470.0,13.0,38.66736341867214,19.590449203493264,16.07240229,11.481953086506735
12,158,1520,158.0,1520.0,13.0,13.648250020768254,20.843482745367105,17.63494063,11.791457884632896
